[03-Sep-2023 14:15:19 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[03-Sep-2023 14:15:19 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[03-Sep-2023 14:15:32 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[03-Sep-2023 14:15:32 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[03-Sep-2023 14:15:33 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[03-Sep-2023 14:15:33 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[03-Sep-2023 14:15:34 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[03-Sep-2023 14:15:34 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[03-Sep-2023 14:15:45 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[03-Sep-2023 14:15:45 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[03-Sep-2023 14:15:49 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[03-Sep-2023 14:15:49 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[03-Sep-2023 14:15:50 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[03-Sep-2023 14:15:50 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[03-Sep-2023 14:15:52 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[03-Sep-2023 14:15:52 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[03-Sep-2023 14:15:52 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[03-Sep-2023 14:15:52 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[03-Sep-2023 14:15:56 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[03-Sep-2023 14:15:56 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
