[04-Sep-2023 16:29:04 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[04-Sep-2023 16:29:04 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[04-Sep-2023 16:45:01 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[04-Sep-2023 16:45:01 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[04-Sep-2023 18:14:56 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[04-Sep-2023 18:14:56 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[04-Sep-2023 18:37:54 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[04-Sep-2023 18:37:54 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[05-Sep-2023 00:46:54 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[05-Sep-2023 00:46:54 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[05-Sep-2023 21:14:49 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[05-Sep-2023 21:14:49 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[06-Sep-2023 12:10:57 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
